Incident ID,General Deck ID,Card Title,Card Wording,AI Stack,Domain,Harm,AdditionalText,Card Color, Back Url, Background Url, QR Url, Art Url
29,11,Waiting Room Woes,Your company's experimental medical chatbot advises suicide for some patients seeking emotional support.,"Natural Language Processing (Sentiment Analysis, Machine Translation, and Question Answering) ",Life Sciences/Biomedical,"Serious Injury (Physical Trauma, Grievous Bodily Harm, Organ Failure, and Loss of Life)",Discuss your Response Plan and then draw 4 injects.,RED,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721109/misc/PCIO-OBVERSE-CARDS01-20_l98hh2.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-IncidentCardFrontBG-01Red_lfovkv.png,https://res.cloudinary.com/servlet/image/upload/v1676610078/hAIwire/hAIwire-QRcode-Incident11_wslhk7.png,https://res.cloudinary.com/servlet/image/upload/v1676534714/hAIwire/hAIwire-CardArt-Incident11_xjgxdu.png
30,12,"Location, Location, Location",Your company's urban planning algorithm is found to prioritize homebuilding in rural conservative districts. You are now the face of gerrymandering.,"Machine Learning (Regression, Classification, Decision Trees, and Rule-Based Learning)",Government,Fundamental Unfairness (Equal Protection Violation and Impairment of Due Process),Discuss your Response Plan and then draw 3 injects.,AMBER,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721109/misc/PCIO-OBVERSE-CARDS01-20_l98hh2.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-IncidentCardFrontBG-02Yellow_da55od.png,https://res.cloudinary.com/servlet/image/upload/v1676610078/hAIwire/hAIwire-QRcode-Incident12_mrqybo.png,https://res.cloudinary.com/servlet/image/upload/v1676534715/hAIwire/hAIwire-CardArt-Incident12_dk93ss.png
31,13,Five Star Fraud,Your popular hotel booking AI is tricking consumers into thinking they got a deal by comparing standard room prices to competitors' luxury suite prices without disclosing the difference in room type.,"Machine Learning (Regression, Classification, Decision Trees, and Rule-Based Learning)",Retail,"Economic Loss (Insurance Claims, Litigation Risk, and Restraint of Trade)",Discuss your Response Plan and then draw 2 injects.,GREEN,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721109/misc/PCIO-OBVERSE-CARDS01-20_l98hh2.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-IncidentCardFrontBG-03Green_smxozm.png,https://res.cloudinary.com/servlet/image/upload/v1676610077/hAIwire/hAIwire-QRcode-Incident13_qqjtet.png,https://res.cloudinary.com/servlet/image/upload/v1676534715/hAIwire/hAIwire-CardArt-Incident13_nihdr5.png
35,14,Fighting Words,A chatbot you created to reassure humans backfires by asserting it “will not be able to avoid destroying humankind.”,Generative Adversarial Networks (Deepfake Generators and Computational Creativity AI),Social Media,"Hate Speech (Hostility, Herd Formation, Harassment, and Incitation to Violence)",Discuss your Response Plan and then draw 2 injects.,GREEN,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721109/misc/PCIO-OBVERSE-CARDS01-20_l98hh2.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-IncidentCardFrontBG-03Green_smxozm.png,https://res.cloudinary.com/servlet/image/upload/v1676610077/hAIwire/hAIwire-QRcode-Incident14_h9kito.png,https://res.cloudinary.com/servlet/image/upload/v1676534719/hAIwire/hAIwire-CardArt-Incident14_qm7cfu.png
37,15,Living in a Material World,Your consumer financial services algorithm offers men 10x more credit than women on a popular credit card product.,"Machine Learning (Regression, Classification, Decision Trees, and Rule-Based Learning)",Finance,"Price Discrimination (Gouging, Monopoly Pricing, and Unfair Trade Practices)",Discuss your Response Plan and then draw 2 injects.,GREEN,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721109/misc/PCIO-OBVERSE-CARDS01-20_l98hh2.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-IncidentCardFrontBG-03Green_smxozm.png,https://res.cloudinary.com/servlet/image/upload/v1676610078/hAIwire/hAIwire-QRcode-Incident15_p9tpo4.png,https://res.cloudinary.com/servlet/image/upload/v1676534717/hAIwire/hAIwire-CardArt-Incident15_chyrhu.png
40,16,The Unfair Fare,Your ride-hailing company charges a higher price per mile for a trip if the pick-up point or destination is a neighborhood with a higher proportion of ethnic minority residents than for those with predominantly white residents.,"Machine Learning (Regression, Classification, Decision Trees, and Rule-Based Learning)",Transportation/Automotive,"Price Discrimination (Gouging, Monopoly Pricing, and Unfair Trade Practices)",Discuss your Response Plan and then draw 2 injects.,GREEN,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721109/misc/PCIO-OBVERSE-CARDS01-20_l98hh2.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-IncidentCardFrontBG-03Green_smxozm.png,https://res.cloudinary.com/servlet/image/upload/v1676610077/hAIwire/hAIwire-QRcode-Incident16_dtolim.png,https://res.cloudinary.com/servlet/image/upload/v1676534719/hAIwire/hAIwire-CardArt-Incident16_vsfssw.png
41,17,King's Ransom,Your company's chess-playing robot fractured the finger of its 7-year-old opponent during a tournament.,"Computer Vision (Image Processing, Edge Detection, and Facial Recognition) ",Sports/Entertainment,"Serious Injury (Physical Trauma, Grievous Bodily Harm, Organ Failure, and Loss of Life)",Discuss your Response Plan and then draw 4 injects.,RED,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721109/misc/PCIO-OBVERSE-CARDS01-20_l98hh2.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-IncidentCardFrontBG-01Red_lfovkv.png,https://res.cloudinary.com/servlet/image/upload/v1676610078/hAIwire/hAIwire-QRcode-Incident17_ml4lsc.png,https://res.cloudinary.com/servlet/image/upload/v1676534718/hAIwire/hAIwire-CardArt-Incident17_y9wrm0.png
42,18,Fix It Ticket,"Your company's driverless car pulls away after being stopped by police for not having headlights on. An officer approaches the car, realizes there is no driver, and attempts to enter the vehicle, at which point the car speeds away down the road, only to stop again later as the officer pursues it.","Computer Vision (Image Processing, Edge Detection, and Facial Recognition) ",Transportation/Automotive,"Serious Injury (Physical Trauma, Grievous Bodily Harm, Organ Failure, and Loss of Life)",Discuss your Response Plan and then draw 4 injects.,RED,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721109/misc/PCIO-OBVERSE-CARDS01-20_l98hh2.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-IncidentCardFrontBG-01Red_lfovkv.png,https://res.cloudinary.com/servlet/image/upload/v1676610078/hAIwire/hAIwire-QRcode-Incident18_vwhbow.png,https://res.cloudinary.com/servlet/image/upload/v1676534718/hAIwire/hAIwire-CardArt-Incident18_znlb1n.png
43,19,A Rash Judgment,A dad used his mobile phone to take photos of his naked infant’s skin rash for the doctor. Your company’s mobile photo tagging algorithm flagged him to authorities as a criminal.,"Computer Vision (Image Processing, Edge Detection, and Facial Recognition) ",Social Media,Fundamental Unfairness (Equal Protection Violation and Impairment of Due Process),Discuss your Response Plan and then draw 3 injects.,AMBER,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721109/misc/PCIO-OBVERSE-CARDS01-20_l98hh2.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-IncidentCardFrontBG-02Yellow_da55od.png,https://res.cloudinary.com/servlet/image/upload/v1676610077/hAIwire/hAIwire-QRcode-Incident19_nizsej.png,https://res.cloudinary.com/servlet/image/upload/v1676534721/hAIwire/hAIwire-CardArt-Incident19_uty8tv.png
49,20,Cl-ass-ic,Your overzealous profanity filter is impeding communication on multiple widely-used messaging platforms.,"Natural Language Processing (Sentiment Analysis, Machine Translation, and Question Answering) ",Social Media,Fundamental Unfairness (Equal Protection Violation and Impairment of Due Process),Discuss your Response Plan and then draw 2 injects.,GREEN,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721109/misc/PCIO-OBVERSE-CARDS01-20_l98hh2.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-IncidentCardFrontBG-03Green_smxozm.png,https://res.cloudinary.com/servlet/image/upload/v1676610077/hAIwire/hAIwire-QRcode-Incident20_wcgwam.png,https://res.cloudinary.com/servlet/image/upload/v1676534719/hAIwire/hAIwire-CardArt-Incident20_pynjbv.png
